iter	Passed	Remaining
0	1	168
1	3	194
2	5	187
3	7	177
4	9	182
5	11	177
6	13	177
7	15	173
8	17	176
9	19	172
10	20	168
11	22	163
12	23	158
13	25	155
14	27	154
15	29	153
16	31	154
17	33	153
18	35	150
19	36	147
20	38	144
21	39	141
22	41	138
23	43	136
24	45	135
25	46	133
26	48	130
27	49	128
28	51	125
29	52	123
30	54	121
31	56	120
32	58	119
33	60	118
34	62	116
35	64	113
36	65	111
37	67	109
38	68	107
39	70	105
40	71	103
41	72	100
42	74	98
43	76	96
44	77	94
45	79	93
46	80	91
47	82	89
48	84	87
49	86	86
50	87	84
51	89	82
52	91	80
53	92	78
54	93	76
55	95	74
56	96	73
57	98	71
58	100	69
59	102	68
60	104	66
61	105	64
62	107	62
63	108	61
64	110	59
65	111	57
66	113	55
67	114	54
68	116	52
69	118	50
70	119	48
71	121	47
72	122	45
73	124	43
74	166	55
75	168	53
76	170	51
77	172	48
78	174	46
79	176	44
80	177	41
81	180	39
82	181	37
83	183	35
84	186	32
85	188	30
86	190	28
87	191	26
88	194	24
89	196	21
90	198	19
91	199	17
92	201	15
93	202	12
94	204	10
95	205	8
96	207	6
97	208	4
98	210	2
99	212	0
